Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Asensio,es ESP,FW,28,16,10,753,8.4,2,4,6,2,0,0,0,0,5.8,5.8,2.8,8.6,22,38,56,0.24,0.48,0.72,0.24,0.72,0.69,0.34,01.02,0.69,01.02,Matches
Randal Kolo Muani,fr FRA,FW,25,14,2,465,5.2,2,1,3,1,1,1,0,0,5.5,4.7,1.2,5.9,10,9,48,0.39,0.19,0.58,0.19,0.39,01.07,0.23,1.30,0.92,1.14,Matches
Milan Škriniar,sk SVK,"DF,MF",29,5,4,382,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,20,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Ibrahim Mbaye,fr FRA,FW,16,10,4,354,3.9,1,1,2,1,0,0,0,0,1.8,1.8,1.1,2.9,15,9,54,0.25,0.25,0.51,0.25,0.51,0.48,0.30,0.78,0.48,0.78,Matches
Yoram Zague,fr FRA,DF,18,6,4,273,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Axel Tapé,fr FRA,MF,16,3,3,251,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Arnau Tenas,es ESP,GK,23,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.50,0.50,0.00,0.50,0.00,0.21,0.21,0.00,0.21,Matches
Presnel Kimpembe,fr FRA,DF,28,5,0,81,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Noham Kamara,fr FRA,DF,17,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Louis Mouquet,pt POR,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Naoufel El Hannach,ma MAR,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Carlos Soler,es ESP,MF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Quentin Ndjantou Mbitcha,fr FRA,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wassim Slama,fr FRA,MF,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
